Graph,T_1 Value,T_1 Pot,T_1 Ratios,T_1 Time,T_1 Orientation,T_2 Value,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Pot,B_2 Pot Ratios,B_2 Orientation,SamePot,TileTime,BondTime
EFzW,3,"[aaaA, AAA, aA]","[3, 2, 1]",0.024675099994055927,"[[0, 0, 0, -0.0, -0.0, -0.0], [0, 0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 1.0, -0.0, 0], [1.0, 1.0, 0.0, 0, 0, 1.0], [1.0, 1.0, 1.0, 0, 0, -0.0], [1.0, 1.0, 0, 0.0, 1.0, 0]]",3,"[abBB, Abb, AB]","[3, 2, 1]","[[[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0.0, 0.0, 0], [0.0, 0.0, 1.0, 0, 0, 0.0], [1.0, 0.0, 0.0, 0, 0, 0.0], [0.0, 1.0, 0, 0.0, 0.0, 0]], [[0, 0, 0, 1.0, 0.0, 1.0], [0, 0, 0, 1.0, 1.0, 0.0], [0, 0, 0, 0.0, 0.0, 0], [0.0, 0.0, 0.0, 0, 0, 1.0], [0.0, 0.0, 1.0, 0, 0, 0.0], [0.0, 0.0, 0, 0.0, 1.0, 0]]]",2,,,,True,0.35805870000331197,4.884993699990446
EFz_,2,"[aaa, AAA]","[3, 3]",0.010967399997753091,"[[0, 0, 0, -0.0, -0.0, -0.0], [0, 0, 0, -0.0, -0.0, -0.0], [0, 0, 0, -0.0, -0.0, -0.0], [1.0, 1.0, 1.0, 0, 0, 0], [1.0, 1.0, 1.0, 0, 0, 0], [1.0, 1.0, 1.0, 0, 0, 0]]",3,"[aBB, ABB, bbB]","[1, 1, 4]","[[[0, 0, 0, 0.0, 0.0, 1.0], [0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0, 0, 0], [0.0, 0.0, 0.0, 0, 0, 0], [0.0, 0.0, 0.0, 0, 0, 0]], [[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 1.0, 0.0, 1.0], [0, 0, 0, 0.0, 1.0, 1.0], [1.0, 0.0, 1.0, 0, 0, 0], [1.0, 1.0, 0.0, 0, 0, 0], [0.0, 0.0, 0.0, 0, 0, 0]]]",2,,,,True,0.19003450000309385,0.13582189999578986
EFzo,2,"[aAAA, aaA]","[2, 4]",0.016208800007007085,"[[0, 0, 0, 1.0, 1.0, 0.0], [0, 0, 0, 1.0, 0.0, 1.0], [0, 0, 0, 1.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0, 0, 1.0], [0.0, 1.0, 1.0, 0, 0, 0], [1.0, 0.0, 0.0, 0.0, 0, 0]]",3,"[aBBB, AbBB, bbB]","[1, 1, 4]","[[[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0, 0, 0], [0.0, 0.0, 0.0, 1.0, 0, 0]], [[0, 0, 0, 1.0, 0.0, 1.0], [0, 0, 0, 1.0, 0.0, 1.0], [0, 0, 0, 0.0, 1.0, 1.0], [0.0, 0.0, 1.0, 0, 0, 0.0], [1.0, 1.0, -0.0, 0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0, 0]]]",2,,,,True,0.37935650000872556,1.9443188000004739
EFzw,3,"[AAA, aaaA, aaaaa]","[3, 2, 1]",0.023625699992408045,"[[0, 0, 0, -0.0, -0.0, -0.0], [0, 0, 0, -0.0, -0.0, -0.0], [0, 0, 0, -0.0, -0.0, -0.0], [1.0, 1.0, 1.0, 0, 0, -0.0], [1.0, 1.0, 1.0, 0, 0, -0.0], [1.0, 1.0, 1.0, 1.0, 1.0, 0]]",3,"[aBB, Abbb, AbbBB]","[3, 2, 1]","[[[0, 0, 0, 1.0, 0.0, 0.0], [0, 0, 0, 0.0, 1.0, 0.0], [0, 0, 0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0]], [[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0.0, 0.0, 0.0], [0.0, 1.0, 1.0, 0, 0, 1.0], [1.0, 0.0, 1.0, 0, 0, 1.0], [1.0, 1.0, 0.0, 0.0, 0.0, 0]]]",2,,,,True,0.282259100000374,6.742581500002416
EF~w,2,"[aaAAA, aaA]","[3, 3]",0.014678599996841513,"[[0, 0, 0, 1.0, 1.0, 0.0], [0, 0, 0, 1.0, 1.0, 0.0], [0, 0, 0, 1.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0, 1.0, 1.0], [0.0, 0.0, 1.0, 0.0, 0, 1.0], [1.0, 1.0, 0.0, 0.0, 0.0, 0]]",3,"[aaaAA, aaA, AAAAA]","[2, 3, 1]","[[[0, 0, 0, 0.0, 1.0, 1.0], [0, 0, 0, 1.0, 0.0, 1.0], [0, 0, 0, 0.0, 1.0, 1.0], [1.0, 0.0, 1.0, 0, 0.0, 1.0], [0.0, 1.0, 0.0, 1.0, 0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0]]]",1,,,,True,0.1308117000007769,1.00000761449337e-06
EQjO,3,"[aA, aAA, aa]","[3, 2, 1]",0.01675160000741016,"[[0, 0, -0.0, 0, -0.0, 1.0], [0, 0, 0, -0.0, 0, 1.0], [1.0, 0, 0, 0, 1.0, 0], [0, 1.0, 0, 0, 0, -0.0], [1.0, 0, 0.0, 0, 0, 0], [0.0, 0.0, 0, 1.0, 0, 0]]",4,"[ab, aB, AAb, AAB]","[2, 2, 1, 1]","[[[0, 0, 0.0, 0, 0.0, 0.0], [0, 0, 0, 0.0, 0, 1.0], [1.0, 0, 0, 0, 0.0, 0], [0, 0.0, 0, 0, 0, 1.0], [1.0, 0, 0.0, 0, 0, 0], [0.0, 0.0, 0, 0.0, 0, 0]], [[0, 0, 0.0, 0, 0.0, 0.0], [0, 0, 0, 0.0, 0, 0.0], [0.0, 0, 0, 0, 0.0, 0], [0, 1.0, 0, 0, 0, 0.0], [0.0, 0, 1.0, 0, 0, 0], [1.0, 0.0, 0, 0.0, 0, 0]]]",2,,,,True,2.27674489999481,0.28227690000494476
EQj_,3,"[AA, a, aaA]","[2, 1, 3]",0.021889600000577047,"[[0, 0, 0.0, 0, 1.0, 1.0], [0, 0, 0, 0.0, 0, 0.0], [1.0, 0, 0, 0, 1.0, 0.0], [0, 1.0, 0, 0, 0, 0], [0.0, 0, 0.0, 0, 0, 0], [0.0, 1.0, 1.0, 0, 0, 0]]",4,"[ab, aBB, AbB, A]","[2, 1, 2, 1]","[[[0, 0, -0.0, 0, 0.0, -0.0], [0, 0, 0, 1.0, 0, 0.0], [-0.0, 0, 0, 0, -0.0, 0.0], [0, -0.0, 0, 0, 0, 0], [1.0, 0, -0.0, 0, 0, 0], [-0.0, 0.0, 1.0, 0, 0, 0]], [[0, 0, -0.0, 0, -0.0, 1.0], [0, 0, 0, 0.0, 0, 1.0], [1.0, 0, 0, 0, -0.0, 0.0], [0, 0.0, 0, 0, 0, 0], [0.0, 0, 1.0, 0, 0, 0], [0.0, -0.0, 0.0, 0, 0, 0]]]",2,,,,True,1.2209658000065247,0.8301553000055719
EQjg,4,"[aAA, A, aA, aaaa]","[3, 1, 1, 1]",0.031025500007672235,"[[0, 0, 0.0, 0, 1.0, -0.0], [0, 0, 0, 1.0, 0, -0.0], [1.0, 0, 0, 0, 0.0, -0.0], [0, 0.0, 0, 0, 0, 0], [0.0, 0, 1.0, 0, 0, -0.0], [1.0, 1.0, 1.0, 0, 1.0, 0]]",4,"[aB, ABBB, bbB, b]","[1, 1, 3, 1]","[[[0, 0, 0.0, 0, 0.0, 0.0], [0, 0, 0, 0.0, 0, 1.0], [0.0, 0, 0, 0, 0.0, 0.0], [0, 0.0, 0, 0, 0, 0], [0.0, 0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0, 0.0, 0]], [[0, 0, 1.0, 0, 0.0, 1.0], [0, 0, 0, 0.0, 0, 0.0], [0.0, 0, 0, 0, 1.0, 1.0], [0, 1.0, 0, 0, 0, 0], [1.0, 0, 0.0, 0, 0, 1.0], [0.0, 0.0, 0.0, 0, 0.0, 0]]]",2,,,,True,0.5807136000075843,1.8798527000035392
EQjo,3,"[aA, aaaA, aAA]","[3, 1, 2]",0.020401199988555163,"[[0, 0, 1.0, 0, -0.0, -0.0], [0, 0, 0, -0.0, 0, 1.0], [0.0, 0, 0, 0, 1.0, -0.0], [0, 1.0, 0, 0, 0, -0.0], [1.0, 0, 0.0, 0, 0, 0], [1.0, 0.0, 1.0, 1.0, 0, 0]]",4,"[aC, ABBc, bBC, bc]","[1, 1, 2, 2]","[[[0, 0, 0.0, 0, 0.0, 0.0], [0, 0, 0, 0.0, 0, 1.0], [0.0, 0, 0, 0, 0.0, 0.0], [0, 0.0, 0, 0, 0, 0.0], [0.0, 0, 0.0, 0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0, 0]], [[0, 0, 1.0, 0, 0.0, 0.0], [0, 0, 0, 0.0, 0, 0.0], [0.0, 0, 0, 0, 0.0, 1.0], [0, 0.0, 0, 0, 0, 1.0], [1.0, 0, 0.0, 0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0.0, 0, 0.0, 0.0], [0, 0, 0, 0.0, 0, 0.0], [0.0, 0, 0, 0, 0.0, 0.0], [0, 1.0, 0, 0, 0, 0.0], [0.0, 0, 1.0, 0, 0, 0], [1.0, 0.0, 0.0, 0.0, 0, 0]]]",2,"[abBB, aB, AA, AbB, bbb]","[1, 2, 1, 1, 1]","[[[0, 0, 0.0, 0, 0.0, 0.0], [0, 0, 0, 1.0, 0, 0.0], [0.0, 0, 0, 0, 0.0, 0.0], [0, 0.0, 0, 0, 0, 0.0], [1.0, 0, 0.0, 0, 0, 0], [0.0, 0.0, 0.0, 1.0, 0, 0]], [[0, 0, 0.0, 0, 0.0, 1.0], [0, 0, 0, 0.0, 0, 0.0], [1.0, 0, 0, 0, 1.0, 1.0], [0, 0.0, 0, 0, 0, 0.0], [0.0, 0, 0.0, 0, 0, 0], [0.0, 1.0, 0.0, 0.0, 0, 0]]]",False,20.366568700002972,21.961819000003743
EQjw,3,"[aA, aAAAA, aaA]","[2, 1, 3]",0.020646300006774254,"[[0, 0, 1.0, 0, 0.0, 1.0], [0, 0, 0, 0.0, 0, 1.0], [0.0, 0, 0, 0, 1.0, 1.0], [0, 1.0, 0, 0, 0, 0.0], [1.0, 0, 0.0, 0, 0, 1.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0]]",4,"[aB, AB, bbbbb, bBB]","[1, 1, 1, 3]","[[[0, 0, 0.0, 0, 0.0, 0.0], [0, 0, 0, 1.0, 0, 0.0], [0.0, 0, 0, 0, 0.0, 0.0], [0, -0.0, 0, 0, 0, 0.0], [0.0, 0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0]], [[0, 0, 0.0, 0, 1.0, 0.0], [0, 0, 0, 0.0, 0, 0.0], [1.0, 0, 0, 0, -0.0, 0.0], [0, 0.0, 0, 0, 0, 0.0], [0.0, 0, 1.0, 0, 0, 0.0], [1.0, 1.0, 1.0, 1.0, 1.0, 0]]]",2,,,,True,1.427333700004965,2.258650599993416
