Graph,T_1 Value,T_1 Pot,T_1 Ratios,T_1 Time,T_1 Orientation,T_2 Value,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Pot,B_2 Pot Ratios,B_2 Orientation,SamePot,TileTime,BondTime
ECr_,3,"[aA, a, aAA]","[2, 2, 2]",0.018345899996347725,"[[0, 0, 0, 0.0, -0.0, 1.0], [0, 0, 0, 0, 1.0, -0.0], [0, 0, 0, 0, 0, 1.0], [1.0, 0, 0, 0, 0, 0], [1.0, 0.0, 0, 0, 0, 0], [0.0, 1.0, 0.0, 0, 0, 0]]",5,"[aC, AC, bcc, Bcc, C]","[1, 1, 1, 1, 2]","[[[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0, 0.0], [0.0, 0, 0, 0, 0, 0], [0.0, 0.0, 0, 0, 0, 0], [0.0, 0.0, 0.0, 0, 0, 0]], [[0, 0, 0, 0.0, 0.0, 1.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0, 0.0], [0.0, 0, 0, 0, 0, 0], [0.0, 0.0, 0, 0, 0, 0], [0.0, 0.0, 0.0, 0, 0, 0]], [[0, 0, 0, 1.0, 1.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0, 0.0], [0.0, 0, 0, 0, 0, 0], [0.0, 0.0, 0, 0, 0, 0], [0.0, 1.0, 1.0, 0, 0, 0]]]",3,,,,True,48.63621920000878,76.4087933999981
ECrg,4,"[A, aaA, AA, aaaA]","[2, 2, 1, 1]",0.024110800004564226,"[[0, 0, 0, 1.0, 0.0, 1.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0, 0.0], [0.0, 0, 0, 0, 0, 0], [1.0, 1.0, 0, 0, 0, 0.0], [0.0, 1.0, 1.0, 0, 1.0, 0]]",4,"[aB, ABBB, bbB, b]","[1, 1, 2, 2]","[[[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, 0, 0.0], [0.0, 0, 0, 0, 0, 0], [0.0, 0.0, 0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0, 0.0, 0]], [[0, 0, 0, -0.0, 1.0, 1.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, 1.0], [1.0, 0, 0, 0, 0, 0], [0.0, 1.0, 0, 0, 0, 1.0], [-0.0, 0.0, 0.0, 0, -0.0, 0]]]",2,,,,True,0.3908419000072172,2.2823037000052864
ECro,4,"[aA, AAA, aaaA, a]","[3, 1, 1, 1]",0.024559400000725873,"[[0, 0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 1.0, -0.0], [0, 0, 0, 0, 0, 1.0], [1.0, 0, 0, 0, 0, -0.0], [1.0, 0.0, 0, 0, 0, 0], [1.0, 1.0, 0.0, 1.0, 0, 0]]",5,"[abBB, aB, AAA, bb, b]","[1, 2, 1, 1, 1]","[[[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0, 0.0], [1.0, 0, 0, 0, 0, 0.0], [1.0, 0.0, 0, 0, 0, 0], [1.0, 0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0, 1.0, 1.0], [0, 0, 0, 0, 0, 1.0], [0.0, 0, 0, 0, 0, 0.0], [0.0, 0.0, 0, 0, 0, 0], [0.0, 0.0, 0.0, 1.0, 0, 0]]]",2,,,,True,37.160651800004416,0.7534382000012556
ECrw,4,"[aA, aAA, aaaAA, a]","[2, 2, 1, 1]",0.030583300002035685,"[[0, 0, 0, -0.0, -0.0, 1.0], [0, 0, 0, 0, 1.0, -0.0], [0, 0, 0, 0, 0, 1.0], [1.0, 0, 0, 0, 0, -0.0], [1.0, 0.0, 0, 0, 0, -0.0], [0.0, 1.0, 0.0, 1.0, 1.0, 0]]",4,"[aB, AAbBB, bbB, b]","[2, 1, 2, 1]","[[[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, 0, 0.0], [-0.0, 0, 0, 0, 0, 1.0], [0.0, 0.0, 0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0]], [[0, 0, 0, 1.0, 1.0, 0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, 1.0], [-0.0, 0, 0, 0, 0, -0.0], [0.0, 1.0, 0, 0, 0, 1.0], [1.0, -0.0, -0.0, -0.0, 0.0, 0]]]",2,,,,True,0.5997173999930965,2.96996930000023
ECuw,3,"[aaAA, aaA, A]","[2, 2, 2]",0.017708600003970787,"[[0, 0, 0, 1.0, 1.0, 0.0], [0, 0, 0, 0, 0.0, 0], [0, 0, 0, 0, 0, 0.0], [0.0, 0, 0, 0, 1.0, 1.0], [0.0, 1.0, 0, 0.0, 0, 1.0], [1.0, 0, 1.0, 0.0, 0.0, 0]]",4,"[aBBB, AbBB, bbB, b]","[1, 1, 2, 2]","[[[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0], [0, 0, 0, 0, 0, 0.0], [0.0, 0, 0, 0, 0.0, 0.0], [0.0, 0.0, 0, 0.0, 0, 1.0], [0.0, 0, 0.0, 0.0, 0.0, 0]], [[0, 0, 0, 1.0, 1.0, 0.0], [0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 1.0], [0.0, 0, 0, 0, 1.0, 1.0], [0.0, 0.0, 0, 0.0, 0, 0.0], [1.0, 0, 0.0, 0.0, 0.0, 0]]]",2,,,,True,1.6594134000042686,1.8794724000035785
ECvo,4,"[aAA, aA, aaaA, a]","[3, 1, 1, 1]",0.02622430000337772,"[[0, 0, 0, -0.0, 1.0, -0.0], [0, 0, 0, 0, 1.0, -0.0], [0, 0, 0, 0, 0, 1.0], [1.0, 0, 0, 0, -0.0, -0.0], [0.0, 0.0, 0, 1.0, 0, 0], [1.0, 1.0, 0.0, 1.0, 0, 0]]",4,"[aB, ABBB, bbB, b]","[1, 1, 3, 1]","[[[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 0, -0.0], [0.0, 0, 0, 0, 0.0, 0.0], [0.0, 0.0, 0, 0.0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0, 1.0, -0.0, 1.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0, 1.0], [-0.0, 0, 0, 0, 1.0, 1.0], [1.0, 1.0, 0, -0.0, 0, 0], [0.0, -0.0, -0.0, -0.0, 0, 0]]]",2,,,,True,0.48290789999009576,2.4099636000028113
ECvw,5,"[aAA, aaaA, AA, aaaAA, a]","[2, 1, 1, 1, 1]",0.038335200006258674,"[[0, 0, 0, -0.0, -0.0, 1.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, 1.0], [1.0, 0, 0, 0, -0.0, -0.0], [1.0, 1.0, 0, 1.0, 0, -0.0], [0.0, 1.0, 0.0, 1.0, 1.0, 0]]",5,"[aB, ABBB, bbbBB, bbB, b]","[1, 1, 1, 2, 1]","[[[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0, 0.0], [0.0, 0, 0, 0, 0.0, 0.0], [0.0, 0.0, 0, 0.0, 0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0]], [[0, 0, 0, 1.0, 1.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0, 1.0], [0.0, 0, 0, 0, 1.0, 1.0], [0.0, 0.0, 0, 0.0, 0, 0.0], [1.0, 1.0, 0.0, 0.0, 1.0, 0]]]",2,,,,True,2.7783138000086183,5.282256300008157
ECxo,3,"[aA, aaA, AA]","[3, 2, 1]",0.01818499999353662,"[[0, 0, 0, -0.0, 1.0, 0], [0, 0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, -0.0, -0.0], [1.0, 0, 0, 0, 0, -0.0], [0.0, 1.0, 1.0, 0, 0, 0], [0, 0.0, 1.0, 1.0, 0, 0]]",3,"[aB, Abb, AB]","[3, 2, 1]","[[[0, 0, 0, 0.0, 0.0, 0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0.0, 1.0], [1.0, 0, 0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0, 0, 0], [0, 0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0, 0.0, 0.0, 0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0.0, 0, 0, 0, 0, 0.0], [1.0, 0.0, 1.0, 0, 0, 0], [0, 1.0, 0.0, 1.0, 0, 0]]]",2,,,,True,0.16495109999959823,0.48256590000528377
ECxw,2,"[aA, aaAA]","[4, 2]",0.010286899996572174,"[[0, 0, 0, -0.0, 1.0, 0], [0, 0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, -0.0, 1.0], [1.0, 0, 0, 0, 0, -0.0], [0.0, 1.0, 1.0, 0, 0, -0.0], [0, 0.0, 0.0, 1.0, 1.0, 0]]",4,"[aB, AAAB, bbbB, bb]","[3, 1, 1, 1]","[[[0, 0, 0, 0.0, 0.0, 0], [0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 0.0, 1.0], [0.0, 0, 0, 0, 0, 1.0], [0.0, 0.0, 0.0, 0, 0, 0.0], [0, 0.0, 0.0, 0.0, 0.0, 0]], [[0, 0, 0, 1.0, 1.0, 0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0.0, 0, 0, 0, 0, 0.0], [0.0, 1.0, 1.0, 0, 0, 1.0], [0, 0.0, 0.0, 0.0, 0.0, 0]]]",2,,,,True,4.29629019999993,0.5718842999922344
ECzW,4,"[aA, aaAA, aAA, a]","[2, 2, 1, 1]",0.029034899998805486,"[[0, 0, 0, -0.0, -0.0, 1.0], [0, 0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, 1.0, 0], [1.0, 0, 0, 0, 0, -0.0], [1.0, 1.0, 0.0, 0, 0, -0.0], [0.0, 0.0, 0, 1.0, 1.0, 0]]",4,"[aC, ABcC, bcc, b]","[2, 2, 1, 1]","[[[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0.0, 0], [0.0, 0, 0, 0, 0, 1.0], [0.0, 0.0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0, 0.0, 0.0, 0]], [[0, 0, 0, 0.0, 0.0, 1.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 1.0, 0], [0.0, 0, 0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0, 0.0, 0.0, 0]], [[0, 0, 0, 1.0, 1.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0], [0.0, 0, 0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0, 0, 1.0], [0.0, 1.0, 0, 0.0, 0.0, 0]]]",2,"[aB, Abbb, ABBB, bbB, b]","[2, 1, 1, 1, 1]","[[[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0.0, 0], [0.0, 0, 0, 0, 0, 1.0], [0.0, 0.0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0, 0.0, 0.0, 0]], [[0, 0, 0, 1.0, 1.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 1.0, 0], [0.0, 0, 0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0, 0, 0.0], [1.0, 1.0, 0, 0.0, 1.0, 0]]]",False,8.51527590000478,6.116408300003968
