Graph,T_1 Value,T_1 Pot,T_1 Ratios,T_1 Time,T_1 Orientation,T_2 Value,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Pot,B_2 Pot Ratios,B_2 Orientation,SamePot,TileTime,BondTime
EErw,3,"[aAA, aaaaA, a]","[4, 1, 1]",0.02193980000447482,"[[0, 0, 0, -0.0, 1.0, -0.0], [0, 0, 0, 1.0, -0.0, -0.0], [0, 0, 0, 0, 0, 1.0], [1.0, 0.0, 0, 0, 0, -0.0], [0.0, 1.0, 0, 0, 0, -0.0], [1.0, 1.0, 0.0, 1.0, 1.0, 0]]",3,"[aaA, a, AAAAA]","[4, 1, 1]","[[[0, 0, 0, 1.0, 0.0, 1.0], [0, 0, 0, 0.0, 1.0, 1.0], [0, 0, 0, 0, 0, 1.0], [0.0, 1.0, 0, 0, 0, 1.0], [1.0, 0.0, 0, 0, 0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0]]]",1,,,,True,0.028460299989092164,1.200009137392044e-06
EEuw,4,"[A, aaAA, AA, aaa]","[1, 3, 1, 1]",0.026232200005324557,"[[0, 0, 0, 1.0, 1.0, 1.0], [0, 0, 0, -0.0, -0.0, 0], [0, 0, 0, 0, 0, 0.0], [0.0, 1.0, 0, 0, 0.0, 1.0], [0.0, 1.0, 0, 1.0, 0, 0.0], [0.0, 0, 1.0, 0.0, 1.0, 0]]",4,"[abBB, AA, A, bbb]","[3, 1, 1, 1]","[[[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0.0, 0.0, 0], [0, 0, 0, 0, 0, 0.0], [0.0, 1.0, 0, 0, 0.0, 0.0], [0.0, 1.0, 0, 0.0, 0, 0.0], [0.0, 0, 1.0, 0.0, 0.0, 0]], [[0, 0, 0, 1.0, 1.0, 1.0], [0, 0, 0, 0.0, 0.0, 0], [0, 0, 0, 0, 0, 0.0], [0.0, 0.0, 0, 0, 1.0, 0.0], [0.0, 0.0, 0, 0.0, 0, 1.0], [0.0, 0, 0.0, 1.0, 0.0, 0]]]",2,,,,True,0.8768724999972619,3.335274400000344
EEvo,3,"[A, aaaA, aAA]","[1, 2, 3]",0.019630099995993078,"[[0, 0, 0, -0.0, -0.0, 1.0], [0, 0, 0, -0.0, 1.0, -0.0], [0, 0, 0, 0, 0, 0.0], [1.0, 1.0, 0, 0, 1.0, -0.0], [1.0, 0.0, 0, 0.0, 0, 0], [0.0, 1.0, 1.0, 1.0, 0, 0]]",4,"[aBB, AAB, bbbB, b]","[2, 1, 2, 1]","[[[0, 0, 0, -0.0, 1.0, -0.0], [0, 0, 0, -0.0, 1.0, -0.0], [0, 0, 0, 0, 0, -0.0], [0.0, 0.0, 0, 0, 0.0, 0.0], [-0.0, -0.0, 0, -0.0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0, -0.0, -0.0, -0.0], [0, 0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 0, 1.0], [1.0, 1.0, 0, 0, 1.0, 0.0], [-0.0, -0.0, 0, -0.0, 0, 0], [1.0, 1.0, -0.0, 1.0, 0, 0]]]",2,,,,True,1.2346753000019817,2.559910800002399
EEvw,4,"[aaaA, AAA, aaaAA, a]","[2, 2, 1, 1]",0.02900480000243988,"[[0, 0, 0, -0.0, -0.0, -0.0], [0, 0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 0, 1.0], [1.0, 1.0, 0, 0, -0.0, 1.0], [1.0, 1.0, 0, 1.0, 0, -0.0], [1.0, 1.0, 0.0, 0.0, 1.0, 0]]",4,"[aBB, AAbBB, bbbB, b]","[2, 1, 2, 1]","[[[0, 0, 0, 0.0, 0.0, 1.0], [0, 0, 0, 0.0, 0.0, 1.0], [0, 0, 0, 0, 0, 0.0], [0.0, 0.0, 0, 0, 0.0, 0.0], [0.0, 0.0, 0, 0.0, 0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0]], [[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0, 0, 1.0], [1.0, 1.0, 0, 0, 1.0, 0.0], [1.0, 1.0, 0, 0.0, 0, 1.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0]]]",2,,,,True,0.9064669999934267,6.345618999999715
EEzO,3,"[aAA, a, aaa]","[4, 1, 1]",0.018996400001924485,"[[0, 0, 0, -0.0, 1.0, -0.0], [0, 0, 0, 1.0, -0.0, -0.0], [0, 0, 0, 0, 1.0, 0], [1.0, 0.0, 0, 0, 0, -0.0], [0.0, 1.0, 0.0, 0, 0, 0], [1.0, 1.0, 0, 1.0, 0, 0]]",4,"[aBB, ABB, bbB, b]","[1, 1, 3, 1]","[[[0, 0, 0, 1.0, 0.0, 0.0], [0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0], [0.0, 0.0, 0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0, 0, 0], [0.0, 0.0, 0, 0.0, 0, 0]], [[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 1.0, 0.0, 1.0], [0, 0, 0, 0, 1.0, 0], [0.0, 0.0, 0, 0, 0, 0.0], [1.0, 1.0, 0.0, 0, 0, 0], [1.0, 0.0, 0, 1.0, 0, 0]]]",2,,,,True,1.5290781000076095,0.13360880000982434
EEz_,2,"[aa, aAA]","[2, 4]",0.01054830000794027,"[[0, 0, 0, -0.0, -0.0, 1.0], [0, 0, 0, -0.0, 1.0, -0.0], [0, 0, 0, 0, 1.0, 1.0], [1.0, 1.0, 0, 0, 0, 0], [1.0, 0.0, 0.0, 0, 0, 0], [0.0, 1.0, 0.0, 0, 0, 0]]",3,"[ab, aBB, AbB]","[2, 1, 3]","[[[0, 0, 0, 0.0, -0.0, -0.0], [0, 0, 0, 0.0, 1.0, -0.0], [0, 0, 0, 0, -0.0, 1.0], [1.0, -0.0, 0, 0, 0, 0], [-0.0, -0.0, 0.0, 0, 0, 0], [-0.0, -0.0, 0.0, 0, 0, 0]], [[0, 0, 0, -0.0, -0.0, 1.0], [0, 0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 1.0, -0.0], [-0.0, 1.0, 0, 0, 0, 0], [1.0, -0.0, -0.0, 0, 0, 0], [-0.0, 1.0, -0.0, 0, 0, 0]]]",2,,,,True,0.38572130000102334,0.7300331000005826
EEzg,4,"[aa, aaaA, AAA, aA]","[1, 2, 2, 1]",0.028324300001258962,"[[0, 0, 0, -0.0, -0.0, -0.0], [0, 0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, 1.0], [1.0, 1.0, 0, 0, 0, 0], [1.0, 1.0, 1.0, 0, 0, -0.0], [1.0, 1.0, 0.0, 0, 1.0, 0]]",4,"[aBB, AABB, bbbB, bb]","[2, 1, 1, 2]","[[[0, 0, 0, 0.0, 0.0, 1.0], [0, 0, 0, 0.0, 0.0, 1.0], [0, 0, 0, 0, 0.0, 0.0], [0.0, 0.0, 0, 0, 0, 0], [0.0, 0.0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0, 0.0, 0]], [[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0, 1.0, 1.0], [1.0, 1.0, 0, 0, 0, 0], [1.0, 1.0, 0.0, 0, 0, 1.0], [0.0, 0.0, 0.0, 0, 0.0, 0]]]",2,,,,True,0.9609465999965323,3.2422546000016155
EEzo,3,"[aAA, aaaa, aA]","[4, 1, 1]",0.019039000006159768,"[[0, 0, 0, -0.0, 1.0, -0.0], [0, 0, 0, 1.0, -0.0, -0.0], [0, 0, 0, 0, 1.0, -0.0], [1.0, 0.0, 0, 0, 0, -0.0], [0.0, 1.0, 0.0, 0, 0, 0], [1.0, 1.0, 1.0, 1.0, 0, 0]]",3,"[aB, ABBB, bbB]","[1, 1, 4]","[[[0, 0, 0, 0.0, -0.0, -0.0], [0, 0, 0, -0.0, 0.0, -0.0], [0, 0, 0, 0, 0.0, 1.0], [-0.0, -0.0, 0, 0, 0, -0.0], [-0.0, 0.0, -0.0, 0, 0, 0], [-0.0, 0.0, -0.0, -0.0, 0, 0]], [[0, 0, 0, -0.0, 1.0, 1.0], [0, 0, 0, 1.0, 0.0, 1.0], [0, 0, 0, 0, 0.0, -0.0], [1.0, 0.0, 0, 0, 0, 1.0], [0.0, 1.0, 1.0, 0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0, 0]]]",2,,,,True,0.1264145000022836,2.0417682000115747
EEzw,4,"[aAA, aaaA, aaaaA, AA]","[3, 1, 1, 1]",0.02649530000053346,"[[0, 0, 0, -0.0, -0.0, 1.0], [0, 0, 0, 1.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [1.0, 0.0, 0, 0, 0, -0.0], [1.0, 1.0, 1.0, 0, 0, -0.0], [0.0, 1.0, 1.0, 1.0, 1.0, 0]]",4,"[aB, ABBB, bbbBB, bbB]","[1, 1, 1, 3]","[[[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0, 1.0, 0.0], [0.0, 0.0, 0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0]], [[0, 0, 0, 0.0, 1.0, 1.0], [0, 0, 0, 0.0, 1.0, 1.0], [0, 0, 0, 0, 0.0, 0.0], [1.0, 1.0, 0, 0, 0, 0.0], [0.0, -0.0, 0.0, 0, 0, 0.0], [0.0, -0.0, 1.0, 1.0, 1.0, 0]]]",2,,,,True,0.7555111999972723,6.538133299996844
EE~w,4,"[aaaA, aaaaA, AAA, AA]","[1, 2, 2, 1]",0.026848399997106753,"[[0, 0, 0, -0.0, -0.0, -0.0], [0, 0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [1.0, 1.0, 0, 0, -0.0, 1.0], [1.0, 1.0, 1.0, 1.0, 0, -0.0], [1.0, 1.0, 1.0, 0.0, 1.0, 0]]",4,"[ab, aBB, Abbb, AbbBB]","[1, 2, 1, 2]","[[[0, 0, 0, 0.0, 0.0, 1.0], [0, 0, 0, 1.0, -0.0, -0.0], [0, 0, 0, 0, 1.0, 0.0], [-0.0, -0.0, 0, 0, 0.0, -0.0], [-0.0, -0.0, 0.0, -0.0, 0, 0.0], [-0.0, 0.0, -0.0, 0.0, -0.0, 0]], [[0, 0, 0, -0.0, 0.0, -0.0], [0, 0, 0, -0.0, 0.0, -0.0], [0, 0, 0, 0, -0.0, 1.0], [1.0, 0.0, 0, 0, 1.0, 1.0], [1.0, 1.0, -0.0, -0.0, 0, -0.0], [0.0, 1.0, -0.0, -0.0, 1.0, 0]]]",2,,,,True,1.643487900000764,10.652411699993536
