Graph,T_1 Value,T_1 Pot,T_1 Ratios,T_1 Time,T_1 Orientation,T_2 Value,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Pot,B_2 Pot Ratios,B_2 Orientation,SamePot,TileTime,BondTime
ECZO,3,"[aA, aAA, a]","[4, 1, 1]",0.026184400005149655,"[[0, 0, 0, -0.0, 0, 1.0], [0, 0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, 1.0, 0], [1.0, 0, 0, 0, 0, -0.0], [0, 1.0, 0.0, 0, 0, 0], [0.0, 0.0, 0, 1.0, 0, 0]]",4,"[aC, AB, bcc, b]","[2, 2, 1, 1]","[[[0, 0, 0, 1.0, 0, -0.0], [0, 0, 0, 0, 1.0, -0.0], [0, 0, 0, 0, 0.0, 0], [-0.0, 0, 0, 0, 0, -0.0], [0, -0.0, -0.0, 0, 0, 0], [0.0, 0.0, 0, 0.0, 0, 0]], [[0, 0, 0, -0.0, 0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 1.0, 0], [-0.0, 0, 0, 0, 0, -0.0], [0, -0.0, -0.0, 0, 0, 0], [-0.0, -0.0, 0, 1.0, 0, 0]], [[0, 0, 0, -0.0, 0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, 0], [-0.0, 0, 0, 0, 0, -0.0], [0, -0.0, -0.0, 0, 0, 0], [1.0, 1.0, 0, -0.0, 0, 0]]]",3,,,,True,5.063378499995451,68.9700473999983
ECZW,4,"[aA, AAA, aaaA, a]","[3, 1, 1, 1]",0.027934099998674355,"[[0, 0, 0, 1.0, 0, -0.0], [0, 0, 0, 0, 1.0, -0.0], [0, 0, 0, 0, 1.0, 0], [0.0, 0, 0, 0, 0, 1.0], [0, 0.0, 0.0, 0, 0, -0.0], [1.0, 1.0, 0, 0.0, 1.0, 0]]",5,"[a, ABC, bccc, bC, BB]","[1, 1, 1, 2, 1]","[[[0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 1.0, 0], [0.0, 0, 0, 0, 0, 0.0], [0, 0.0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0, 0.0, 0.0, 0]], [[0, 0, 0, 1.0, 0, 0.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0.0, 0], [-0.0, 0, 0, 0, 0, 0.0], [0, 0.0, 0.0, 0, 0, 0.0], [-0.0, 0.0, 0, 1.0, 0.0, 0]], [[0, 0, 0, -0.0, 0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0], [-0.0, 0, 0, 0, 0, 0.0], [0, 0.0, 0.0, 0, 0, 0.0], [1.0, 1.0, 0, 0.0, 1.0, 0]]]",3,,,,True,111.15180520000285,274.729688899999
ECZ_,3,"[a, aAA, aA]","[1, 1, 4]",0.018061900002066977,"[[0, 0, 0, 0.0, 0, 1.0], [0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 1.0, 0.0], [1.0, 0, 0, 0, 0, 0], [0, 1.0, 0.0, 0, 0, 0], [0.0, 0.0, 1.0, 0, 0, 0]]",4,"[aB, AA, A, bbb]","[3, 1, 1, 1]","[[[0, 0, 0, 1.0, 0, -0.0], [0, 0, 0, 0, 1.0, -0.0], [0, 0, 0, 0, 1.0, -0.0], [0.0, 0, 0, 0, 0, 0], [0, -0.0, -0.0, 0, 0, 0], [0.0, 0.0, 0.0, 0, 0, 0]], [[0, 0, 0, -0.0, 0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [-0.0, 0, 0, 0, 0, 0], [0, -0.0, -0.0, 0, 0, 0], [1.0, 1.0, 1.0, 0, 0, 0]]]",2,,,,True,0.6488482999993721,0.3132234999939101
ECZg,4,"[AA, a, aaA, aaaa]","[3, 1, 1, 1]",0.030430199985858053,"[[0, 0, 0, 0.0, 0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [1.0, 0, 0, 0, 0, 0], [0, 1.0, 1.0, 0, 0, -0.0], [1.0, 1.0, 1.0, 0, 1.0, 0]]",4,"[aB, Abbb, AbB, A]","[3, 1, 1, 1]","[[[0, 0, 0, 1.0, 0, 0.0], [0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 1.0, 0.0], [0.0, 0, 0, 0, 0, 0], [0, 0.0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0, 0.0, 0]], [[0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0.0, 0, 0, 0, 0, 0], [0, 1.0, 0.0, 0, 0, 0.0], [1.0, 0.0, 1.0, 0, 1.0, 0]]]",2,,,,True,0.5594259000063175,1.6923248000093736
ECZo,2,"[aA, aaAA]","[5, 1]",0.015473400009796023,"[[0, 0, 0, 0.0, 0, 1.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0.0, 1.0], [1.0, 0, 0, 0, 0, 0.0], [0, 0.0, 1.0, 0, 0, 0], [0.0, 1.0, 0.0, 1.0, 0, 0]]",3,"[aB, AAAB, bb]","[3, 1, 2]","[[[0, 0, 0, 0.0, 0, -0.0], [0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 0.0, 1.0], [0.0, 0, 0, 0, 0, 1.0], [0, 0.0, 0.0, 0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0, 1.0, 0, 1.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [-0.0, 0, 0, 0, 0, -0.0], [0, 1.0, 1.0, 0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0, 0]]]",2,,,,True,0.26151179999578744,0.33170150000660215
ECZw,3,"[aaa, aAAAA, aA]","[1, 1, 4]",0.021498399990377948,"[[0, 0, 0, 0.0, 0, 1.0], [0, 0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, -0.0, 1.0], [1.0, 0, 0, 0, 0, 0.0], [0, 1.0, 1.0, 0, 0, 1.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0]]",4,"[aB, AbbbB, Abb, AB]","[3, 1, 1, 1]","[[[0, 0, 0, 1.0, 0, 0.0], [0, 0, 0, 0, 1.0, -0.0], [0, 0, 0, 0, 0.0, 1.0], [-0.0, 0, 0, 0, 0, 0.0], [0, 0.0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0]], [[0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0.0, 0, 0, 0, 0, 0.0], [0, 0.0, 1.0, 0, 0, 1.0], [1.0, 1.0, 0.0, 1.0, 0.0, 0]]]",2,,,,True,2.3190496000024723,0.8188228999933926
ECfo,4,"[a, aA, aAA, aaAA]","[2, 1, 2, 1]",0.023855600011302158,"[[0, 0, 0, 1.0, 0.0, 0.0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [0.0, 0, 0, 0, 1.0, 0.0], [1.0, 0, 0, 0.0, 0, 0], [1.0, 0.0, 0.0, 1.0, 0, 0]]",4,"[abB, a, AAAB, Ab]","[2, 2, 1, 1]","[[[0, 0, 0, 0.0, 1.0, 0.0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [0.0, 0, 0, 0, 0.0, 1.0], [0.0, 0, 0, 0.0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0, 0.0, 0.0, 1.0], [0, 0, 0, 0, 0, 0.0], [0, 0, 0, 0, 0, 0.0], [1.0, 0, 0, 0, 0.0, -0.0], [0.0, 0, 0, 1.0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0, 0]]]",2,,,,True,1.1616713999974309,1.946262299999944
ECfw,3,"[A, aaAAA, aaA]","[2, 1, 3]",0.019975400005932897,"[[0, 0, 0, 0.0, 1.0, 1.0], [0, 0, 0, 0, 0, 0.0], [0, 0, 0, 0, 0, 0.0], [1.0, 0, 0, 0, 0.0, 1.0], [0.0, 0, 0, 1.0, 0, 1.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0]]",3,"[aaA, a, AAAAA]","[3, 2, 1]","[[[0, 0, 0, 0.0, 1.0, 1.0], [0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 1.0], [1.0, 0, 0, 0, -0.0, 1.0], [0.0, 0, 0, 1.0, 0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0]]]",1,,,,True,0.024812200004816987,1.100008375942707e-06
ECpo,3,"[aA, aAA, a]","[4, 1, 1]",0.018534399991040118,"[[0, 0, 0, -0.0, 1.0, 0], [0, 0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, 0, 1.0], [1.0, 0, 0, 0, 0, -0.0], [0.0, 1.0, 0, 0, 0, 0], [0, 0.0, 0.0, 1.0, 0, 0]]",5,"[aC, AC, bc, BBc, C]","[1, 1, 2, 1, 1]","[[[0, 0, 0, 0.0, 1.0, 0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0, 0.0], [0.0, 0, 0, 0, 0, 0.0], [-0.0, 0.0, 0, 0, 0, 0], [0, 0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0, 0.0, 0.0, 0], [0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 0, -0.0], [0.0, 0, 0, 0, 0, 1.0], [0.0, 0.0, 0, 0, 0, 0], [0, 0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0, 0.0, 0.0, 0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0, 0.0], [1.0, 0, 0, 0, 0, 0.0], [0.0, 0.0, 0, 0, 0, 0], [0, 0.0, 1.0, 0.0, 0, 0]]]",3,,,,True,43.14443349999783,44.704899999997
ECqg,2,"[aAA, a]","[3, 3]",0.010606300013023429,"[[0, 0, 0, 0.0, -0.0, 1.0], [0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 1.0], [1.0, 0, 0, 0, 0, 0], [1.0, 0.0, 0, 0, 0, -0.0], [0.0, 0, 0.0, 0, 1.0, 0]]",4,"[aBB, ABB, bbB, b]","[1, 1, 1, 3]","[[[0, 0, 0, 0.0, 1.0, 0.0], [0, 0, 0, 0, 0.0, 0], [0, 0, 0, 0, 0, 0.0], [0.0, 0, 0, 0, 0, 0], [0.0, 0.0, 0, 0, 0, 0.0], [0.0, 0, 0.0, 0, 0.0, 0]], [[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 1.0], [1.0, 0, 0, 0, 0, 0], [0.0, 0.0, 0, 0, 0, 0.0], [1.0, 0, 0.0, 0, 1.0, 0]]]",2,,,,True,0.5118696999998065,0.15585319999081548
