Graph,T_1 Value,T_1 Pot,T_1 Time,T_1 Orientation,T_2 Value,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Pot,B_2 Orientation,SamePot,TileTime,BondTime
ECro,1,5,2,"['abBB', 'aB', 'AAA', 'bb', 'b']","{'abBB': [5], 'aB': [3, 4], 'AAA': [0], 'bb': [1], 'b': [2]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0]]]",2,5,,,,TRUE,33.2892929,0.6997359
ECrw,1,4,2,"['aB', 'AAbBB', 'bbB', 'b']","{'aB': [1, 3], 'AAbBB': [5], 'bbB': [0, 4], 'b': [2]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0]]]",2,4,,,,TRUE,0.6021521,2.840099
ECuw,1,4,2,"['aBBB', 'AbBB', 'bbB', 'b']","{'aBBB': [4], 'AbBB': [5], 'bbB': [0, 3], 'b': [1, 2]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]]",2,4,,,,TRUE,1.6819048,1.6329847
ECvo,1,4,2,"['aB', 'ABBB', 'bbB', 'b']","{'aB': [1], 'ABBB': [5], 'bbB': [0, 3, 4], 'b': [2]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]]",2,4,,,,TRUE,0.5469005,2.1224797
ECvw,1,5,2,"['aB', 'ABBB', 'bbbBB', 'bbB', 'b']","{'aB': [1], 'ABBB': [4], 'bbbBB': [5], 'bbB': [0, 3], 'b': [2]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 1, 0]]]",2,5,,,,TRUE,2.6188008,4.7035406
ECxo,1,3,2,"['aB', 'Abb', 'AB']","{'aB': [1, 2, 3], 'Abb': [4, 5], 'AB': [0]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0], [0, 1, 0, 1, 0, 0]]]",2,3,,,,TRUE,0.1891228,0.4325686
ECxw,1,4,2,"['aB', 'AAAB', 'bbbB', 'bb']","{'aB': [1, 2, 3], 'AAAB': [5], 'bbbB': [4], 'bb': [0]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0]]]",2,4,,,,TRUE,4.192919,0.502212
ECzW,1,4,3,"['aC', 'ABcC', 'bcc', 'b']","{'aC': [1, 3], 'ABcC': [4, 5], 'bcc': [0], 'b': [2]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0]]]",2,5,"['aB', 'Abbb', 'ABBB', 'bbB', 'b']","{'aB': [1, 3], 'Abbb': [5], 'ABBB': [4], 'bbB': [0], 'b': [2]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 1, 0]]]",FALSE,7.6294615,4.9311172
E?qo,1,4,3,"['a', 'AAC', 'AB', 'bc']","{'a': [1, 2, 3], 'AAC': [5], 'AB': [4], 'bc': [0]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]]",3,4,,,,TRUE,2.5655959,22.7308292
ECzg,1,5,2,"['ab', 'aBBB', 'AAAB', 'bbB', 'b']","{'ab': [1, 2], 'aBBB': [5], 'AAAB': [4], 'bbB': [0], 'b': [3]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0]], [[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]]",2,5,,,,TRUE,29.8302115,1.2017406
