Graph,T_1 Value,T_1 Pot,T_1 Ratios,T_1 Time,T_1 Orientation,T_2 Value,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Pot,B_2 Pot Ratios,TileTime,BondTime
E]zw,5,4,2,"['aBBB', 'ABBBB', 'bbbB', 'bbB']","{'aBBB': [4], 'ABBBB': [5], 'bbbB': [0, 1, 2], 'bbB': [3]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0]], [[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 1, 1], [0, 1, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]]",2,4,,,,TRUE,1.8477217,2.8910473
E]~o,5,3,2,"['aBBB', 'AAbB', 'bbbB']","{'aBBB': [0, 1], 'AAbB': [2], 'bbbB': [3, 4, 5]}","[[[0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 1, 0], [1, 1, 1, 0, 0, 0], [1, 1, 0, 1, 0, 0]]]",2,3,,,,TRUE,0.5749226,0.1670359
E]~w,5,3,2,"['aBBBB', 'ABBBB', 'bbbB']","{'aBBBB': [5], 'ABBBB': [4], 'bbbB': [0, 1, 2, 3]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0]], [[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 1, 1], [0, 1, 0, 0, 1, 1], [1, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]]",2,3,,,,TRUE,0.6329795,3.03252
E?zw,5,4,2,"['aB', 'AAbBB', 'Abbb', 'b']","{'aB': [0, 1, 2], 'AAbBB': [5], 'Abbb': [4], 'b': [3]}","[[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [0, 0, 1, 0, 0, 0]]]",2,4,,,,TRUE,0.6600203,0.5925976
E^~w,5,3,2,"['aBBB', 'AABBB', 'bbbbB']","{'aBBB': [0, 1], 'AABBB': [3], 'bbbbB': [2, 4, 5]}","[[[0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 1, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0], [1, 1, 0, 1, 1, 0]]]",2,3,,,,TRUE,0.5703119,4.3701851
E~~w,5,2,1,"['aaaAA', 'AAAAA']","{'aaaAA': [1, 2, 3, 4, 5], 'AAAAA': [0]}","[[[0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 0, 1, 1, 0, 0], [1, 0, 0, 1, 1, 0]]]",1,2,,,,TRUE,0.0353209,3.50E-06
E?~o,5,3,2,"['aB', 'AAAb', 'Abbb']","{'aB': [0, 1, 2, 3], 'AAAb': [5], 'Abbb': [4]}","[[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 0, 1, 1, 0, 0], [0, 1, 0, 0, 0, 0]]]",2,3,,,,TRUE,0.2970536,0.1852502
E?~w,5,3,2,"['aB', 'AAbbb', 'AAbbB']","{'aB': [0, 1, 2, 3], 'AAbbb': [5], 'AAbbB': [4]}","[[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 1, 0]]]",2,3,,,,TRUE,0.2197957,0.4222624
ECR_,5,3,2,"['a', 'Ab', 'ABB']","{'a': [2, 3, 4], 'Ab': [0, 1], 'ABB': [5]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]]",2,3,,,,TRUE,0.1442547,0.3105373
ECRo,5,4,3,"['aC', 'ABBc', 'bc', 'C']","{'aC': [3], 'ABBc': [5], 'bc': [0, 1], 'C': [2, 4]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0]]]",3,4,,,,TRUE,5.1305755,54.051533
