Graph,Methodnum,T_2 Value,T_2 Bonds,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Tiles,B_2 Pot,B_2 Pot Ratios,B_2 Orientation,SamePot,TileTime,BondTime
GCf^v{,5,5,2.0,"['aB', 'ABBBBB', 'bbbbBBB', 'bbbBB', 'bbB']","{'aB': [2], 'ABBBBB': [6], 'bbbbBBB': [7], 'bbbBB': [0, 3, 4, 5], 'bbB': [1]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 1, 0, 0, 1, 1], [1, 0, 0, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 1, 0]]]",2.0,5,,,,True,12.532458567991853,357.63696392439306
GCf^~{,5,5,2.0,"['abBBB', 'aBB', 'AAbbbBB', 'bbbbbB', 'bb']","{'abBBB': [0, 3, 4], 'aBB': [1], 'AAbbbBB': [6, 7], 'bbbbbB': [5], 'bb': [2]}","[[[0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [1, 1, 0, 1, 1, 0, 0, 1], [0, 1, 0, 0, 1, 1, 0, 0], [1, 0, 0, 1, 0, 0, 1, 0]]]",2.0,5,,,,True,41.4563398566097,679.1327464040369
GCZNvk,3,4,3.0,"['abC', 'AAbbbc', 'bBBC', 'Bccccc']","{'abC': [2, 3], 'AAbbbc': [7], 'bBBC': [0, 1, 4, 5], 'Bccccc': [6]}","[[[0, 0, 0, -0.0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, 0, -0.0, 1.0], [-0.0, 0, 0, 0, 0, 0, -0.0, 1.0], [0, -0.0, -0.0, 0, 0, -0.0, -0.0, 0], [-0.0, -0.0, 0, 0, -0.0, 0, 0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, 0, 0, -0.0], [-0.0, -0.0, -0.0, -0.0, 0, -0.0, -0.0, 0]], [[0, 0, 0, -0.0, 0, 1.0, -0.0, -0.0], [0, 0, 0, 0, 0.0, 1.0, -0.0, -0.0], [0, 0, 0, 0, 1.0, 0, -0.0, -0.0], [1.0, 0, 0, 0, 0, 0, -0.0, -0.0], [0, 1.0, -0.0, 0, 0, 0.0, -0.0, 0], [-0.0, 0.0, 0, 0, 1.0, 0, 0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, 0, 0, -0.0], [1.0, 1.0, -0.0, -0.0, 0, -0.0, 1.0, 0]], [[0, 0, 0, -0.0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, 0, -0.0, -0.0], [-0.0, 0, 0, 0, 0, 0, -0.0, -0.0], [0, -0.0, -0.0, 0, 0, -0.0, -0.0, 0], [-0.0, -0.0, 0, 0, -0.0, 0, 0, -0.0], [1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, -0.0], [-0.0, -0.0, -0.0, -0.0, 0, 1.0, -0.0, 0]]]",2.0,5,"['aaa', 'aaAB', 'abbb', 'AAAbbB', 'ABB']","{'aaa': [2], 'aaAB': [0, 4, 5], 'abbb': [1], 'AAAbbB': [6, 7], 'ABB': [3]}","[[[0, 0, 0, 1.0, 0, 0.0, 0.0, 1.0], [0, 0, 0, 0, -0.0, 0.0, 1.0, 0.0], [0, 0, 0, 0, 1.0, 0, 1.0, 1.0], [0.0, 0, 0, 0, 0, 0, -0.0, -0.0], [0, 0.0, 0.0, 0, 0, 1.0, 1.0, 0], [1.0, 0.0, 0, 0, 0.0, 0, 0, 1.0], [0.0, -0.0, -0.0, -0.0, -0.0, 0, 0, -0.0], [0.0, -0.0, -0.0, -0.0, 0, -0.0, -0.0, 0]], [[0, 0, 0, 0.0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 1.0, 1.0, 0.0, 1.0], [0, 0, 0, 0, 0.0, 0, -0.0, -0.0], [0.0, 0, 0, 0, 0, 0, 0.0, 0.0], [0, -0.0, -0.0, 0, 0, -0.0, -0.0, 0], [-0.0, -0.0, 0, 0, -0.0, 0, 0, -0.0], [1.0, -0.0, 0.0, 1.0, -0.0, 0, 0, 0.0], [-0.0, 0.0, -0.0, 1.0, 0, -0.0, 1.0, 0]]]",False,198.1622209073976,160.18923090677708
GCZUm{,5,5,2.0,"['abBB', 'AAAbBB', 'bbbBB', 'bbB', 'b']","{'abBB': [0, 1, 3], 'AAAbBB': [7], 'bbbBB': [5, 6], 'bbB': [4], 'b': [2]}","[[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0, 0]]]",2.0,5,,,,True,18.10778912436217,122.26750517543404
GCfu|{,5,4,2.0,"['abBB', 'aB', 'AbbBBB', 'bbbbB']","{'abBB': [4], 'aB': [1, 2], 'AbbBBB': [5, 6, 7], 'bbbbB': [0, 3]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 1, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 1, 0, 0]]]",2.0,4,,,,True,5.793529540300369,190.02766569517556
GCfu}{,5,5,2.0,"['abbBB', 'abB', 'a', 'Abbb', 'AbbBBB']","{'abbBB': [0, 3], 'abB': [1], 'a': [2], 'Abbb': [4], 'AbbBBB': [5, 6, 7]}","[[[0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 0, 0, 1], [1, 0, 0, 1, 0, 0, 0, 0]]]",2.0,5,,,,True,39.73379182256758,290.7407749313861
GCfu~s,5,5,2.0,"['abb', 'abBBB', 'AbbbBB', 'AbbB', 'Ab']","{'abb': [1], 'abBBB': [0, 3, 5], 'AbbbBB': [6, 7], 'AbbB': [4], 'Ab': [2]}","[[[0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 1, 1, 0, 0, 0]]]",2.0,5,,,,True,54.07209400087595,363.1667740419507
GCfu~w,5,5,2.0,"['abBBB', 'AAAB', 'bbbbBB', 'bbB', 'bb']","{'abBBB': [0, 3, 6], 'AAAB': [4], 'bbbbBB': [5, 7], 'bbB': [1], 'bb': [2]}","[[[0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 1, 1, 0, 0, 0]]]",2.0,5,,,,True,30.36721751466393,322.1716520283371
GCfu~{,5,6,2.0,"['abBB', 'aB', 'AbbBBB', 'bbbbB', 'bbb', 'bBBBBBB']","{'abBB': [4], 'aB': [2], 'AbbBBB': [5, 6], 'bbbbB': [0, 3], 'bbb': [1], 'bBBBBBB': [7]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 1, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 1, 0, 0, 0, 0, 0]]]",2.0,6,,,,True,265.37122877687216,813.2774988003075
GCfvQ{,5,4,2.0,"['aAABB', 'abbB', 'ab', 'Abb']","{'aAABB': [5, 6, 7], 'abbB': [0, 3, 4], 'ab': [2], 'Abb': [1]}","[[[0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1, 0, 0]], [[0, 0, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 1, 0, 0], [1, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,29.323147289454937,91.77628526836634
