Graph,T_1 Value,T_1 Pot,T_1 Ratios,T_1 Time,T_1 Orientation,T_2 Value,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Pot,B_2 Pot Ratios,B_2 Orientation,SamePot,TileTime,BondTime
F??Fw,2,"[AAAAAA, a]","[1, 6]",0.016673999998602085,"[[0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0]]",2,"[a, AAAAAA]","[6, 1]","[[[0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0]]]",1,,,,True,0.005634399989503436,1.0999938240274787e-06
F?AFo,3,"[AA, a, aAAAA]","[1, 5, 1]",0.0246908999979496,"[[0, 0, 0, 0, 0, 0.0, -0.0], [0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 1.0], [1.0, 0, 0, 0, 0, 0, 0], [1.0, 0.0, 0.0, 0.0, 0.0, 0, 0]]",3,"[a, AAAAB, Ab]","[5, 1, 1]","[[[0, 0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 1.0], [1.0, 0, 0, 0, 0, 0, 0], [-0.0, -0.0, -0.0, 0.0, -0.0, 0, 0]], [[0, 0, 0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, 0, 0, 0.0], [0, 0, 0, 0, 0, 0, 0.0], [0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0.0], [0.0, 0, 0, 0, 0, 0, 0], [0.0, -0.0, -0.0, 0.0, 0.0, 0, 0]]]",2,,,,True,0.10975020000478253,0.4194137000013143
F?Beo,4,"[AA, a, aaA, aaAA]","[2, 3, 1, 1]",0.029314600003999658,"[[0, 0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 1.0], [1.0, 1.0, 0.0, 0, 0, 0, 0], [1.0, 1.0, 0, 0.0, 0.0, 0, 0]]",4,"[aB, AABB, bbB, b]","[2, 1, 1, 3]","[[[0, 0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, 0, -0.0, 0], [0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, -0.0], [0.0, 0.0, 0.0, 0, 0, 0, 0], [0.0, 0.0, 0, 0.0, 0.0, 0, 0]], [[0, 0, 0, 0, 0, -0.0, 0.0], [0, 0, 0, 0, 0, -0.0, 0.0], [0, 0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 1.0], [1.0, 1.0, 0.0, 0, 0, 0, 0], [0.0, 0.0, 0, 0.0, 0.0, 0, 0]]]",2,,,,True,0.7311591000034241,2.03788170000189
F?o}W,3,"[aAAA, aa, a]","[3, 2, 2]",0.023271300000487827,"[[0, 0, 0, 0, 1.0, 0, 1.0], [0, 0, 0, 0, 1.0, 0, 1.0], [0, 0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 1.0, 0], [0.0, 0.0, 0, 0, 0, 1.0, 0.0], [0, 0, 0.0, 0.0, 0.0, 0, 1.0], [0.0, 0.0, 0, 0, 1.0, 0.0, 0]]",5,"[abBB, aB, AABB, Abbb, b]","[1, 2, 1, 1, 2]","[[[0, 0, 0, 0, 1.0, 0, -0.0], [0, 0, 0, 0, 1.0, 0, -0.0], [0, 0, 0, 0, 0, -0.0, 0], [0, 0, 0, 0, 0, -0.0, 0], [-0.0, -0.0, 0, 0, 0, -0.0, -0.0], [0, 0, -0.0, -0.0, -0.0, 0, 1.0], [-0.0, -0.0, 0, 0, -0.0, -0.0, 0]], [[0, 0, 0, 0, -0.0, 0, -0.0], [0, 0, 0, 0, -0.0, 0, -0.0], [0, 0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 1.0, 0], [-0.0, -0.0, 0, 0, 0, -0.0, -0.0], [0, 0, -0.0, -0.0, 1.0, 0, -0.0], [1.0, 1.0, 0, 0, 1.0, -0.0, 0]]]",2,,,,True,61.035503599996446,1.8644617999962065
F?o~O,4,"[a, aaaA, AA, aaA]","[1, 2, 3, 1]",0.03108339999744203,"[[0, 0, 0, 0, -0.0, 0, -0.0], [0, 0, 0, 0, -0.0, 0, -0.0], [0, 0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, 1.0, 0], [1.0, 1.0, 0, 0, 0, -0.0, 1.0], [0, 0, 1.0, 0.0, 1.0, 0, 0], [1.0, 1.0, 1.0, 0, 0.0, 0, 0]]",5,"[aB, AABB, Abbb, bbB, b]","[3, 1, 1, 1, 1]","[[[0, 0, 0, 0, 1.0, 0, 0.0], [0, 0, 0, 0, 1.0, 0, 0.0], [0, 0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 0, 0.0, 0], [0.0, 0.0, 0, 0, 0, 0.0, 0.0], [0, 0, 0.0, 0.0, 0.0, 0, 0], [0.0, 0.0, 0.0, 0, 0.0, 0, 0]], [[0, 0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0, 1.0, 0], [0.0, 0.0, 0, 0, 0, 0.0, 0.0], [0, 0, 1.0, 0.0, 1.0, 0, 0], [1.0, 1.0, 0.0, 0, 1.0, 0, 0]]]",2,,,,True,19.543801500010886,4.324146400002064
F?o~W,4,"[aaAA, a, AA, aaaaa]","[2, 1, 3, 1]",0.038079499994637445,"[[0, 0, 0, 0, -0.0, 0, -0.0], [0, 0, 0, 0, -0.0, 0, -0.0], [0, 0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, 1.0, 0], [1.0, 1.0, 0, 0, 0, -0.0, -0.0], [0, 0, 1.0, 0.0, 1.0, 0, -0.0], [1.0, 1.0, 1.0, 0, 1.0, 1.0, 0]]",4,"[aB, AAABB, bbbB, b]","[3, 1, 2, 1]","[[[0, 0, 0, 0, 0.0, 0, 1.0], [0, 0, 0, 0, 0.0, 0, 1.0], [0, 0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 0, 0.0, 0], [0.0, 0.0, 0, 0, 0, 0.0, 0.0], [0, 0, 0.0, 0.0, 0.0, 0, 0.0], [0.0, 0.0, 0.0, 0, 0.0, 0.0, 0]], [[0, 0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0, 1.0, 0], [1.0, 1.0, 0, 0, 0, 0.0, 1.0], [0, 0, 1.0, -0.0, 1.0, 0, 1.0], [0.0, 0.0, 0.0, 0, -0.0, 0.0, 0]]]",2,,,,True,0.7705130999966059,10.276016700008768
F?o~_,3,"[aaA, aA, aAAA]","[2, 4, 1]",0.027682500003720634,"[[0, 0, 0, 0, -0.0, 0, 1.0], [0, 0, 0, 0, -0.0, 0, 1.0], [0, 0, 0, 0, 0, 1.0, -0.0], [0, 0, 0, 0, 0, -0.0, 1.0], [1.0, 1.0, 0, 0, 0, -0.0, 0], [0, 0, 0.0, 1.0, 1.0, 0, 0], [0.0, 0.0, 1.0, 0.0, 0, 0, 0]]",4,"[aB, AAB, Abbb, Abb]","[4, 1, 1, 1]","[[[0, 0, 0, 0, 1.0, 0, 0.0], [0, 0, 0, 0, 1.0, 0, 0.0], [0, 0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0, 0.0, 1.0], [0.0, 0.0, 0, 0, 0, 0.0, 0], [0, 0, 0.0, 0.0, 0.0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0, 0, 0]], [[0, 0, 0, 0, -0.0, 0, -0.0], [0, 0, 0, 0, -0.0, 0, -0.0], [0, 0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, -0.0, -0.0], [0.0, 0.0, 0, 0, 0, 0.0, 0], [0, 0, -0.0, 1.0, 1.0, 0, 0], [1.0, 1.0, 1.0, 0.0, 0, 0, 0]]]",2,,,,True,1.2934071999916341,2.6402582000009716
F?o~o,4,"[aaAA, AA, aaaaa, aaa]","[1, 4, 1, 1]",0.0324104999890551,"[[0, 0, 0, 0, -0.0, 0, -0.0], [0, 0, 0, 0, -0.0, 0, -0.0], [0, 0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, -0.0, -0.0], [1.0, 1.0, 0, 0, 0, -0.0, -0.0], [0, 0, 1.0, 1.0, 1.0, 0, 0], [1.0, 1.0, 1.0, 1.0, 1.0, 0, 0]]",4,"[aB, AAB, AbbbB, Abbb]","[4, 1, 1, 1]","[[[0, 0, 0, 0, -0.0, 0, 1.0], [0, 0, 0, 0, 1.0, 0, 0.0], [0, 0, 0, 0, 0, 1.0, -0.0], [0, 0, 0, 0, 0, 1.0, -0.0], [0.0, 0.0, 0, 0, 0, 0.0, 0.0], [0, 0, 0.0, 0.0, 0.0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0, 0, -0.0, 0, -0.0], [0, 0, 0, 0, -0.0, 0, -0.0], [0, 0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, -0.0, -0.0], [1.0, 0.0, 0, 0, 0, 1.0, 1.0], [0, 0, -0.0, -0.0, 0.0, 0, 0], [0.0, 1.0, 1.0, 1.0, -0.0, 0, 0]]]",2,,,,True,1.0490075999987312,7.284658299991861
F?o~w,3,"[aAAA, aAAAAA, aa]","[2, 1, 4]",0.031575500004692,"[[0, 0, 0, 0, 1.0, 0, 1.0], [0, 0, 0, 0, 1.0, 0, 1.0], [0, 0, 0, 0, 0, 1.0, 1.0], [0, 0, 0, 0, 0, 1.0, 1.0], [0.0, 0.0, 0, 0, 0, 0.0, 1.0], [0, 0, 0.0, 0.0, 1.0, 0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0]]",3,"[aB, AAbB, bbbbbB]","[4, 2, 1]","[[[0, 0, 0, 0, 1.0, 0, 0.0], [0, 0, 0, 0, 1.0, 0, 0.0], [0, 0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0, 1.0, 0.0], [0.0, 0.0, 0, 0, 0, 0.0, 0.0], [0, 0, 0.0, 0.0, 0.0, 0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0]], [[0, 0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0, 0.0, 0.0], [0.0, 0.0, 0, 0, 0, 1.0, 0.0], [0, 0, 0.0, 0.0, 0.0, 0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0]]]",2,,,,True,0.1810810000024503,7.561726700005238
F?q_w,3,"[a, aAA, aA]","[3, 3, 1]",0.023413500006427057,"[[0, 0, 0, 0, -0.0, 1.0, 0], [0, 0, 0, 0, 1.0, 0, 0], [0, 0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 0, 1.0], [1.0, 0.0, 0, 0, 0, 0, -0.0], [0.0, 0, 0.0, 0, 0, 0, 1.0], [0, 0, 0, 0.0, 1.0, 0.0, 0]]",4,"[aBB, AA, bbB, b]","[2, 1, 1, 3]","[[[0, 0, 0, 0, -0.0, -0.0, 0], [0, 0, 0, 0, -0.0, 0, 0], [0, 0, 0, 0, 0, -0.0, 0], [0, 0, 0, 0, 0, 0, -0.0], [1.0, -0.0, 0, 0, 0, 0, -0.0], [1.0, 0, -0.0, 0, 0, 0, -0.0], [0, 0, 0, -0.0, -0.0, -0.0, 0]], [[0, 0, 0, 0, -0.0, -0.0, 0], [0, 0, 0, 0, 1.0, 0, 0], [0, 0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 0, 1.0], [-0.0, -0.0, 0, 0, 0, 0, -0.0], [-0.0, 0, -0.0, 0, 0, 0, -0.0], [0, 0, 0, -0.0, 1.0, 1.0, 0]]]",2,,,,True,1.1240986000047997,1.0142446999961976
