Graph,T_1 Value,T_1 Pot,T_1 Ratios,T_1 Time,T_1 Orientation,T_2 Value,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Pot,B_2 Pot Ratios,B_2 Orientation,SamePot,TileTime,BondTime
D?{,2,"[a, AAAA]","[4, 1]",0.017070599998987745,"[[0, 0, 0, 0, 1.0], [0, 0, 0, 0, 1.0], [0, 0, 0, 0, 1.0], [0, 0, 0, 0, 1.0], [0.0, 0.0, 0.0, 0.0, 0]]",2,"[a, AAAA]","[4, 1]","[[[0, 0, 0, 0, 1.0], [0, 0, 0, 0, 1.0], [0, 0, 0, 0, 1.0], [0, 0, 0, 0, 1.0], [0.0, 0.0, 0.0, 0.0, 0]]]",1,,,,True,0.004555100000288803,1.1999945854768157e-06
DCw,3,"[AA, a, aAA]","[1, 3, 1]",0.016876699999556877,"[[0, 0, 0, 0.0, -0.0], [0, 0, 0, 0, 1.0], [0, 0, 0, 0, 1.0], [1.0, 0, 0, 0, 0], [1.0, 0.0, 0.0, 0, 0]]",3,"[a, AAB, Ab]","[3, 1, 1]","[[[0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 1.0], [0, 0, 0, 0, 1.0], [1.0, 0, 0, 0, 0], [0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 0.0], [0, 0, 0, 0, 0.0], [0.0, 0, 0, 0, 0], [0.0, 0.0, 0.0, 0, 0]]]",2,,,,True,0.08041329999832669,0.15949710000131745
DC{,3,"[a, aAAA, aA]","[2, 1, 2]",0.017215399995620828,"[[0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 1.0], [0, 0, 0, 0, 1.0], [0.0, 0, 0, 0, 1.0], [1.0, 0.0, 0.0, 0.0, 0]]",4,"[aB, AB, bbbb, B]","[1, 1, 1, 2]","[[[0, 0, 0, -0.0, 0.0], [0, 0, 0, 0, 0.0], [0, 0, 0, 0, 0.0], [1.0, 0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0.0, 0]], [[0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0], [0, 0, 0, 0, 0.0], [0.0, 0, 0, 0, 0.0], [1.0, 1.0, 1.0, 1.0, 0]]]",2,,,,True,0.7408845999962068,0.20155700000032084
DEk,3,"[a, aA, aAA]","[2, 1, 2]",0.01838560000032885,"[[0, 0, 0, 1.0, -0.0], [0, 0, 0, 1.0, 0], [0, 0, 0, 0, 1.0], [0.0, 0.0, 0, 0, 1.0], [1.0, 0, 0.0, 0.0, 0]]",4,"[aB, ABB, bbB, b]","[1, 1, 1, 2]","[[[0, 0, 0, 1.0, 0.0], [0, 0, 0, -0.0, 0], [0, 0, 0, 0, -0.0], [0.0, 0.0, 0, 0, 0.0], [0.0, 0, 0.0, 0.0, 0]], [[0, 0, 0, 0.0, 0.0], [0, 0, 0, 1.0, 0], [0, 0, 0, 0, 1.0], [0.0, -0.0, 0, 0, 0.0], [1.0, 0, -0.0, 1.0, 0]]]",2,,,,True,0.6550866999969003,0.1971300999939558
DEw,3,"[aA, A, aaA]","[3, 1, 1]",0.022712999998475425,"[[0, 0, 0, 1.0, -0.0], [0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, 0.0], [0.0, 1.0, 0, 0, 0], [1.0, 0.0, 1.0, 0, 0]]",4,"[aB, AA, bbB, b]","[2, 1, 1, 1]","[[[0, 0, 0, 1.0, 0.0], [0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0.0], [0.0, 0.0, 0, 0, 0], [0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0, 0.0, 0.0], [0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 1.0], [0.0, 0.0, 0, 0, 0], [1.0, 1.0, 0.0, 0, 0]]]",2,,,,True,0.9311047999945004,0.14687660000345204
DE{,4,"[aa, a, aAAA, AAA]","[2, 1, 1, 1]",0.040924100001575425,"[[0, 0, 0, 1.0, 1.0], [0, 0, 0, 1.0, 1.0], [0, 0, 0, 0, 1.0], [0.0, 0.0, 0, 0, -0.0], [0.0, 0.0, 0.0, 1.0, 0]]",4,"[a, AbBB, bb, BBB]","[1, 1, 2, 1]","[[[0, 0, 0, 0.0, 0.0], [0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 1.0], [0.0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0.0, 0]], [[0, 0, 0, 1.0, 1.0], [0, 0, 0, 1.0, 1.0], [0, 0, 0, 0, 0.0], [0.0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0.0, 1.0, 0]]]",2,,,,True,0.5122469999987516,0.5923638000022038
DFw,2,"[aaa, AA]","[2, 3]",0.009045499995409045,"[[0, 0, 0, -0.0, -0.0], [0, 0, 0, -0.0, -0.0], [0, 0, 0, -0.0, -0.0], [1.0, 1.0, 1.0, 0, 0], [1.0, 1.0, 1.0, 0, 0]]",2,"[aa, AAA]","[3, 2]","[[[0, 0, 0, 1.0, 1.0], [0, 0, 0, 1.0, 1.0], [0, 0, 0, 1.0, 1.0], [0.0, 0.0, 0.0, 0, 0], [0.0, 0.0, 0.0, 0, 0]]]",1,,,,True,0.007637700000486802,1.0999938240274787e-06
DF{,2,"[aaAA, aA]","[2, 3]",0.009176400002615992,"[[0, 0, 0, -0.0, 1.0], [0, 0, 0, -0.0, 1.0], [0, 0, 0, 1.0, -0.0], [1.0, 1.0, 0.0, 0, -0.0], [0.0, 0.0, 1.0, 1.0, 0]]",3,"[aB, AAbB, Abbb]","[3, 1, 1]","[[[0, 0, 0, 0.0, 1.0], [0, 0, 0, 0.0, 1.0], [0, 0, 0, 1.0, 0.0], [0.0, 0.0, 0.0, 0, 0.0], [0.0, 0.0, 0.0, 0.0, 0]], [[0, 0, 0, 0.0, 0.0], [0, 0, 0, 0.0, 0.0], [0, 0, 0, 0.0, 0.0], [1.0, 1.0, 0.0, 0, 1.0], [0.0, 0.0, 1.0, 0.0, 0]]]",2,,,,True,0.19114270000136457,0.5064869000052568
DQo,3,"[a, AA, aa]","[2, 2, 1]",0.015737400004582014,"[[0, 0, 0.0, 0, -0.0], [0, 0, 0, 0.0, -0.0], [1.0, 0, 0, 0, 0], [0, 1.0, 0, 0, 0], [1.0, 1.0, 0, 0, 0]]",3,"[a, AB, bb]","[2, 2, 1]","[[[0, 0, 0.0, 0, 0.0], [0, 0, 0, 0.0, 0.0], [1.0, 0, 0, 0, 0], [0, 1.0, 0, 0, 0], [0.0, 0.0, 0, 0, 0]], [[0, 0, 0.0, 0, 0.0], [0, 0, 0, 0.0, 0.0], [0.0, 0, 0, 0, 0], [0, 0.0, 0, 0, 0], [1.0, 1.0, 0, 0, 0]]]",2,,,,True,0.06975750000128755,0.049438599999120925
DQw,3,"[aA, A, aaA]","[3, 1, 1]",0.01665970000613015,"[[0, 0, 1.0, 0, -0.0], [0, 0, 0, 1.0, -0.0], [0.0, 0, 0, 0, 1.0], [0, 0.0, 0, 0, 0], [1.0, 1.0, 0.0, 0, 0]]",4,"[aB, AB, A, bbb]","[2, 1, 1, 1]","[[[0, 0, 0.0, 0, 0.0], [0, 0, 0, 1.0, 0.0], [1.0, 0, 0, 0, 0.0], [0, 0.0, 0, 0, 0], [0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0.0, 0, 0.0], [0, 0, 0, 0.0, 0.0], [0.0, 0, 0, 0, 0.0], [0, 0.0, 0, 0, 0], [1.0, 1.0, 1.0, 0, 0]]]",2,,,,True,0.4069766000029631,0.1340213000003132
